ax,ay,az,temp
-4.8,-7.88,-3.05,32.72
-1.5,-12.12,-1.63,32.73
2.05,-12.21,-1.48,32.75
-1.14,-7.86,-2.96,32.74
-1.9,-5.42,-6.6,32.73
-3.16,-8.81,-3.83,32.71
-0.48,-11.33,-1.61,32.74
0.13,-11.6,-1.64,32.76
-1.62,-7.09,-3.53,32.7
-1.8,-5.13,-7.04,32.73
-3.65,-6.6,-6.8,32.75
-1.5,-12.08,-0.91,32.76
0.27,-5.78,-4.24,32.72
0.33,-11.39,-0.66,32.7
-1.52,-11.56,2.07,32.72
-0.88,-11.26,-2.8,32.71
0.45,-8.0,-6.75,32.73
2.27,-8.25,-4.67,32.72
1.92,-9.41,-2.6,32.73
-0.6,-11.41,1.81,32.71
-1.41,-11.01,-3.11,32.72
-0.12,-9.26,-5.12,32.74
1.11,-6.75,-6.07,32.7
1.92,-8.42,-3.2,32.73
-1.64,-12.11,-0.05,32.74
-3.07,-10.4,-1.07,32.72
-0.52,-10.68,-5.99,32.72
1.47,-6.9,-6.2,32.69
0.06,-9.35,-2.99,32.74
-0.56,-11.85,-0.93,32.72
-0.18,-10.42,-3.59,32.71
-0.33,-10.15,-0.57,32.73
-2.42,-8.08,-1.68,32.7
-1.7,-5.92,-8.13,32.68
-3.95,-7.65,-4.11,32.73
1.2,-11.49,-3.14,32.69
-0.01,-11.57,-0.22,32.67
-3.51,-7.74,-2.53,32.72
-3.04,-5.37,-8.63,32.7
-2.64,-8.65,-5.51,32.68
-0.46,-11.34,-2.8,32.69
-1.76,-11.42,0.79,32.7
-1.26,-7.8,-4.73,32.75
-3.22,-6.75,-6.98,32.74
-3.57,-8.44,-3.72,32.74
0.93,-11.84,-2.4,32.68
-1.86,-11.32,-0.43,32.73
-3.27,-7.62,-2.77,32.72
-2.32,-6.78,-8.14,32.69
-4.19,-8.28,-4.21,32.72
-2.36,-10.67,-0.51,32.71
-3.16,-10.05,-0.85,32.7
-2.75,-7.25,-6.4,32.69
-3.0,-8.31,-7.35,32.69
-0.82,-11.65,-3.46,32.72
-0.88,-10.96,-0.88,32.7
-2.09,-9.07,-2.51,32.74
-2.52,-6.1,-6.86,32.71
-2.9,-9.07,-5.85,32.72
-0.63,-11.34,-2.79,32.69
-1.07,-12.51,0.34,32.72
-1.68,-8.91,-2.93,32.71
-2.24,-4.92,-7.75,32.69
-4.85,-7.71,-6.87,32.66
-2.95,-10.91,-1.37,32.67
-0.03,-12.41,-1.09,32.72
